device_id,model,battery_level,battery_status,cleaning_mode,noise_level,suction_power,navigation_type,carpet_detection,dust_container_status
V854,RoboSweep X150,55,25-50%,Senyap,50,2500,Giroskop,Tidak Ada,50%
V855,RoboSweep X150,74,25-50%,Karpet,55,2500,LiDAR + vSLAM,Tidak Ada,50%
V856,RoboSweep X150,20,25-50%,Senyap,65,2500,LiDAR + vSLAM,Tidak Ada,85%
V857,RoboSweep X200,72,50-75%,Karpet,55,2500,LiDAR + vSLAM,Ada,30%
V858,RoboSweep X200,32,25-50%,Maksimal,65,2000,LiDAR + vSLAM,Tidak Ada,35%
V859,RoboSweep X150,48,>75%,Standar,68,2500,Giroskop,Ada,15%
V860,RoboSweep X200,78,<25% - Segera Isi Daya,Maksimal,68,2500,LiDAR + vSLAM,Tidak Ada,30%
V861,RoboSweep X150,36,>75%,Standar,50,2000,LiDAR + vSLAM,Tidak Ada,90%
V862,RoboSweep X200,16,<25% - Segera Isi Daya,Karpet,55,2000,Giroskop,Tidak Ada,50%
V863,RoboSweep X150,31,<25% - Segera Isi Daya,Karpet,50,2000,LiDAR + vSLAM,Ada,35%
V864,RoboSweep X150,88,50-75%,Standar,65,2000,Giroskop,Ada,25%
V865,RoboSweep X200,79,>75%,Maksimal,50,2500,LiDAR + vSLAM,Tidak Ada,90%
V866,RoboSweep X150,87,50-75%,Karpet,50,2000,LiDAR + vSLAM,Ada,15%
V867,RoboSweep X150,24,50-75%,Standar,55,2000,Giroskop,Ada,95%
V868,RoboSweep X200,95,25-50%,Standar,68,2000,LiDAR + vSLAM,Tidak Ada,20%
V869,RoboSweep X200,78,<25% - Segera Isi Daya,Karpet,50,2500,LiDAR + vSLAM,Tidak Ada,75%
V870,RoboSweep X200,65,25-50%,Maksimal,65,2500,LiDAR + vSLAM,Tidak Ada,85%
V871,RoboSweep X200,91,<25% - Segera Isi Daya,Senyap,55,2000,Giroskop,Ada,60%
V872,RoboSweep X200,63,25-50%,Maksimal,55,2000,LiDAR + vSLAM,Ada,35%
V873,RoboSweep X150,93,>75%,Maksimal,55,2000,LiDAR + vSLAM,Ada,45%
V874,RoboSweep X150,42,<25% - Segera Isi Daya,Standar,65,2000,Giroskop,Tidak Ada,50%
V875,RoboSweep X200,18,25-50%,Karpet,68,2000,Giroskop,Ada,25%
V876,RoboSweep X200,77,50-75%,Standar,55,2000,Giroskop,Ada,55%
V877,RoboSweep X150,75,50-75%,Maksimal,68,2000,Giroskop,Ada,60%
V878,RoboSweep X200,21,50-75%,Standar,68,2000,Giroskop,Tidak Ada,85%
V879,RoboSweep X150,46,>75%,Maksimal,68,2500,LiDAR + vSLAM,Ada,35%
V880,RoboSweep X200,56,>75%,Standar,50,2500,LiDAR + vSLAM,Tidak Ada,95%
V881,RoboSweep X200,47,>75%,Standar,55,2500,Giroskop,Tidak Ada,40%
V882,RoboSweep X200,55,25-50%,Standar,68,2000,Giroskop,Tidak Ada,25%
V883,RoboSweep X200,15,>75%,Karpet,50,2000,Giroskop,Tidak Ada,10%
V884,RoboSweep X150,61,<25% - Segera Isi Daya,Senyap,68,2000,Giroskop,Ada,95%
V885,RoboSweep X200,87,<25% - Segera Isi Daya,Maksimal,65,2500,Giroskop,Ada,10%
V886,RoboSweep X150,56,<25% - Segera Isi Daya,Senyap,65,2000,Giroskop,Ada,60%
V887,RoboSweep X200,11,>75%,Senyap,68,2000,LiDAR + vSLAM,Tidak Ada,100%
V888,RoboSweep X200,73,<25% - Segera Isi Daya,Maksimal,50,2500,Giroskop,Ada,10%
V889,RoboSweep X150,99,25-50%,Karpet,65,2500,Giroskop,Ada,15%
V890,RoboSweep X150,61,<25% - Segera Isi Daya,Maksimal,68,2000,LiDAR + vSLAM,Ada,80%
V891,RoboSweep X200,85,25-50%,Karpet,50,2500,LiDAR + vSLAM,Tidak Ada,50%
V892,RoboSweep X150,23,25-50%,Standar,55,2000,Giroskop,Ada,40%
V893,RoboSweep X200,83,50-75%,Standar,68,2000,Giroskop,Tidak Ada,75%
V894,RoboSweep X200,21,50-75%,Maksimal,50,2500,Giroskop,Ada,35%
V895,RoboSweep X150,51,25-50%,Karpet,50,2500,LiDAR + vSLAM,Ada,25%
V896,RoboSweep X150,48,50-75%,Senyap,50,2500,Giroskop,Ada,85%
V897,RoboSweep X200,46,50-75%,Senyap,50,2000,LiDAR + vSLAM,Tidak Ada,40%
V898,RoboSweep X150,89,25-50%,Karpet,65,2500,LiDAR + vSLAM,Ada,65%
V899,RoboSweep X200,13,>75%,Karpet,65,2500,Giroskop,Tidak Ada,65%
V900,RoboSweep X150,54,25-50%,Karpet,68,2500,LiDAR + vSLAM,Tidak Ada,30%
V901,RoboSweep X200,15,<25% - Segera Isi Daya,Standar,50,2500,Giroskop,Tidak Ada,95%
V902,RoboSweep X150,29,<25% - Segera Isi Daya,Standar,68,2500,LiDAR + vSLAM,Ada,50%
V903,RoboSweep X200,56,<25% - Segera Isi Daya,Karpet,50,2000,LiDAR + vSLAM,Tidak Ada,100%
V904,RoboSweep X200,64,50-75%,Maksimal,68,2500,LiDAR + vSLAM,Ada,95%
V905,RoboSweep X150,63,50-75%,Maksimal,50,2500,LiDAR + vSLAM,Tidak Ada,100%
V906,RoboSweep X150,91,<25% - Segera Isi Daya,Karpet,50,2000,LiDAR + vSLAM,Ada,90%
V907,RoboSweep X150,74,<25% - Segera Isi Daya,Karpet,65,2000,LiDAR + vSLAM,Ada,75%
V908,RoboSweep X150,79,<25% - Segera Isi Daya,Karpet,65,2500,Giroskop,Ada,20%
V909,RoboSweep X150,12,>75%,Standar,55,2000,Giroskop,Ada,30%
V910,RoboSweep X200,66,<25% - Segera Isi Daya,Senyap,50,2000,LiDAR + vSLAM,Ada,10%
V911,RoboSweep X150,82,>75%,Senyap,65,2000,Giroskop,Tidak Ada,90%
V912,RoboSweep X150,23,25-50%,Senyap,50,2000,Giroskop,Ada,75%
V913,RoboSweep X150,78,<25% - Segera Isi Daya,Senyap,68,2500,Giroskop,Ada,85%
V914,RoboSweep X200,57,<25% - Segera Isi Daya,Maksimal,68,2000,LiDAR + vSLAM,Ada,85%
V915,RoboSweep X200,48,25-50%,Maksimal,65,2000,LiDAR + vSLAM,Ada,95%
V916,RoboSweep X150,33,50-75%,Karpet,68,2500,Giroskop,Tidak Ada,90%
V917,RoboSweep X150,74,50-75%,Karpet,65,2000,Giroskop,Ada,15%
V918,RoboSweep X200,15,50-75%,Maksimal,50,2000,LiDAR + vSLAM,Ada,65%
V919,RoboSweep X200,13,50-75%,Karpet,50,2500,LiDAR + vSLAM,Tidak Ada,35%
V920,RoboSweep X150,96,25-50%,Karpet,68,2500,LiDAR + vSLAM,Tidak Ada,95%
V921,RoboSweep X150,28,>75%,Maksimal,55,2500,Giroskop,Ada,95%
V922,RoboSweep X200,79,<25% - Segera Isi Daya,Maksimal,55,2000,Giroskop,Ada,40%
V923,RoboSweep X200,96,<25% - Segera Isi Daya,Maksimal,68,2500,LiDAR + vSLAM,Ada,80%
V924,RoboSweep X200,94,25-50%,Standar,55,2000,LiDAR + vSLAM,Tidak Ada,85%
V925,RoboSweep X150,40,50-75%,Maksimal,68,2500,Giroskop,Tidak Ada,10%
V926,RoboSweep X150,63,<25% - Segera Isi Daya,Maksimal,55,2000,Giroskop,Ada,55%
V927,RoboSweep X150,39,<25% - Segera Isi Daya,Maksimal,68,2500,LiDAR + vSLAM,Ada,50%
V928,RoboSweep X200,63,<25% - Segera Isi Daya,Karpet,68,2500,LiDAR + vSLAM,Tidak Ada,15%
V929,RoboSweep X200,74,25-50%,Karpet,68,2500,Giroskop,Ada,25%
V930,RoboSweep X150,28,25-50%,Karpet,55,2000,Giroskop,Ada,65%
V931,RoboSweep X150,59,>75%,Senyap,65,2500,Giroskop,Ada,70%
V932,RoboSweep X150,19,>75%,Standar,68,2000,Giroskop,Tidak Ada,50%
V933,RoboSweep X200,92,<25% - Segera Isi Daya,Karpet,68,2000,LiDAR + vSLAM,Tidak Ada,65%
V934,RoboSweep X200,18,25-50%,Maksimal,50,2500,Giroskop,Tidak Ada,25%
V935,RoboSweep X150,40,25-50%,Senyap,50,2500,LiDAR + vSLAM,Tidak Ada,20%
V936,RoboSweep X200,26,>75%,Maksimal,50,2500,Giroskop,Ada,65%
V937,RoboSweep X150,92,>75%,Standar,50,2000,LiDAR + vSLAM,Ada,45%
V938,RoboSweep X150,36,>75%,Senyap,65,2500,LiDAR + vSLAM,Tidak Ada,70%
V939,RoboSweep X200,25,25-50%,Standar,50,2000,LiDAR + vSLAM,Tidak Ada,25%
V940,RoboSweep X150,28,<25% - Segera Isi Daya,Maksimal,68,2500,Giroskop,Ada,50%
V941,RoboSweep X150,19,50-75%,Standar,65,2500,LiDAR + vSLAM,Tidak Ada,80%
V942,RoboSweep X200,69,<25% - Segera Isi Daya,Senyap,68,2000,Giroskop,Ada,50%
V943,RoboSweep X150,25,>75%,Maksimal,65,2000,Giroskop,Ada,30%
V944,RoboSweep X150,69,<25% - Segera Isi Daya,Standar,65,2000,Giroskop,Tidak Ada,30%
V945,RoboSweep X150,97,25-50%,Karpet,68,2500,LiDAR + vSLAM,Tidak Ada,65%
V946,RoboSweep X200,65,50-75%,Standar,65,2000,LiDAR + vSLAM,Ada,95%
V947,RoboSweep X150,40,<25% - Segera Isi Daya,Maksimal,55,2000,Giroskop,Ada,50%
V948,RoboSweep X150,84,25-50%,Senyap,68,2000,LiDAR + vSLAM,Tidak Ada,90%
V949,RoboSweep X150,66,<25% - Segera Isi Daya,Standar,55,2000,Giroskop,Ada,60%
V950,RoboSweep X200,28,>75%,Standar,50,2000,LiDAR + vSLAM,Ada,60%
V951,RoboSweep X150,23,25-50%,Karpet,55,2000,LiDAR + vSLAM,Ada,60%
V952,RoboSweep X150,34,<25% - Segera Isi Daya,Karpet,65,2500,LiDAR + vSLAM,Tidak Ada,10%
V953,RoboSweep X200,15,25-50%,Karpet,65,2000,Giroskop,Ada,35%
V954,RoboSweep X150,92,50-75%,Karpet,50,2500,Giroskop,Ada,65%
V955,RoboSweep X150,88,25-50%,Maksimal,68,2500,LiDAR + vSLAM,Ada,55%
V956,RoboSweep X200,80,25-50%,Maksimal,55,2500,LiDAR + vSLAM,Tidak Ada,45%
V957,RoboSweep X200,36,>75%,Senyap,55,2500,Giroskop,Tidak Ada,75%
V958,RoboSweep X200,44,50-75%,Senyap,68,2000,Giroskop,Ada,70%
V959,RoboSweep X200,17,50-75%,Senyap,68,2000,LiDAR + vSLAM,Tidak Ada,35%
V960,RoboSweep X200,70,50-75%,Maksimal,68,2500,Giroskop,Ada,35%
V961,RoboSweep X200,97,>75%,Karpet,55,2500,Giroskop,Ada,90%
V962,RoboSweep X200,32,50-75%,Standar,65,2500,LiDAR + vSLAM,Ada,35%
V963,RoboSweep X150,53,<25% - Segera Isi Daya,Karpet,68,2500,Giroskop,Tidak Ada,55%
V964,RoboSweep X150,28,<25% - Segera Isi Daya,Maksimal,65,2000,Giroskop,Ada,70%
V965,RoboSweep X150,59,<25% - Segera Isi Daya,Maksimal,65,2500,Giroskop,Tidak Ada,80%
V966,RoboSweep X150,11,<25% - Segera Isi Daya,Senyap,68,2000,LiDAR + vSLAM,Tidak Ada,65%
V967,RoboSweep X200,84,<25% - Segera Isi Daya,Maksimal,68,2500,Giroskop,Ada,30%
V968,RoboSweep X200,32,25-50%,Maksimal,65,2500,Giroskop,Tidak Ada,15%
V969,RoboSweep X150,73,<25% - Segera Isi Daya,Standar,50,2500,Giroskop,Ada,50%
V970,RoboSweep X150,51,>75%,Maksimal,55,2500,Giroskop,Ada,80%
V971,RoboSweep X150,32,<25% - Segera Isi Daya,Standar,65,2000,Giroskop,Ada,25%
V972,RoboSweep X150,70,50-75%,Karpet,50,2500,Giroskop,Tidak Ada,85%
V973,RoboSweep X200,53,50-75%,Standar,68,2000,Giroskop,Tidak Ada,25%
V974,RoboSweep X150,18,>75%,Maksimal,65,2000,Giroskop,Tidak Ada,90%
V975,RoboSweep X150,15,50-75%,Maksimal,65,2500,Giroskop,Ada,60%
V976,RoboSweep X200,52,<25% - Segera Isi Daya,Karpet,55,2500,LiDAR + vSLAM,Ada,10%
V977,RoboSweep X150,74,>75%,Maksimal,65,2500,LiDAR + vSLAM,Tidak Ada,50%
V978,RoboSweep X150,76,<25% - Segera Isi Daya,Standar,65,2000,Giroskop,Tidak Ada,15%
V979,RoboSweep X200,82,25-50%,Maksimal,55,2500,Giroskop,Tidak Ada,20%
V980,RoboSweep X200,27,25-50%,Senyap,55,2500,LiDAR + vSLAM,Tidak Ada,15%
V981,RoboSweep X150,12,<25% - Segera Isi Daya,Karpet,55,2500,LiDAR + vSLAM,Tidak Ada,50%
V982,RoboSweep X150,58,>75%,Maksimal,55,2500,LiDAR + vSLAM,Tidak Ada,50%
V983,RoboSweep X150,94,25-50%,Maksimal,50,2500,Giroskop,Ada,90%
V984,RoboSweep X150,18,25-50%,Maksimal,68,2000,Giroskop,Ada,15%
V985,RoboSweep X200,55,25-50%,Maksimal,55,2000,Giroskop,Tidak Ada,15%
V986,RoboSweep X200,67,>75%,Senyap,65,2000,LiDAR + vSLAM,Tidak Ada,65%
V987,RoboSweep X150,100,<25% - Segera Isi Daya,Maksimal,50,2500,LiDAR + vSLAM,Tidak Ada,20%
V988,RoboSweep X150,47,>75%,Maksimal,50,2000,LiDAR + vSLAM,Tidak Ada,65%
V989,RoboSweep X200,53,<25% - Segera Isi Daya,Standar,68,2500,Giroskop,Tidak Ada,80%
V990,RoboSweep X200,92,50-75%,Karpet,65,2500,Giroskop,Ada,60%
V991,RoboSweep X200,72,<25% - Segera Isi Daya,Standar,65,2000,LiDAR + vSLAM,Tidak Ada,50%
V992,RoboSweep X200,72,>75%,Senyap,55,2500,LiDAR + vSLAM,Tidak Ada,25%
V993,RoboSweep X150,67,>75%,Karpet,55,2000,LiDAR + vSLAM,Tidak Ada,75%
V994,RoboSweep X150,54,25-50%,Karpet,50,2500,LiDAR + vSLAM,Ada,75%
V995,RoboSweep X200,39,>75%,Karpet,50,2000,LiDAR + vSLAM,Ada,80%
V996,RoboSweep X150,72,50-75%,Karpet,50,2000,Giroskop,Ada,60%
V997,RoboSweep X200,45,50-75%,Maksimal,65,2500,Giroskop,Tidak Ada,65%
V998,RoboSweep X200,60,>75%,Senyap,68,2000,Giroskop,Tidak Ada,55%
V999,RoboSweep X200,28,25-50%,Karpet,50,2500,Giroskop,Tidak Ada,65%
